Timestamp,Type,Peer,Message,Source Peer
2025-02-19 20:37:11,Sent,P2,Hello from P1 at 20:37:11,P1
2025-02-19 20:37:11,Received,P2,Hello from P2 at 20:37:11,P1
2025-02-19 20:37:11,Sent,P3,Hello from P1 at 20:37:11,P1
2025-02-19 20:37:11,Received,P3,Hello from P3 at 20:37:11,P1
2025-02-19 20:37:11,Sent,P4,Hello from P1 at 20:37:11,P1
2025-02-19 20:37:11,Received,P4,Hello from P4 at 20:37:11,P1
2025-02-19 20:37:13,Sent,P2,Hello from P1 at 20:37:13,P1
2025-02-19 20:37:13,Sent,P3,Hello from P1 at 20:37:13,P1
2025-02-19 20:37:13,Sent,P4,Hello from P1 at 20:37:13,P1
2025-02-19 20:37:13,Received,P4,Hello from P4 at 20:37:13,P1
2025-02-19 20:37:13,Received,P3,Hello from P3 at 20:37:13,P1
2025-02-19 20:37:13,Received,P2,Hello from P2 at 20:37:13,P1
2025-02-19 20:37:15,Sent,P2,Hello from P1 at 20:37:15,P1
2025-02-19 20:37:15,Sent,P3,Hello from P1 at 20:37:15,P1
2025-02-19 20:37:15,Sent,P4,Hello from P1 at 20:37:15,P1
2025-02-19 20:37:15,Received,P2,Hello from P2 at 20:37:15,P1
2025-02-19 20:37:15,Received,P3,Hello from P3 at 20:37:15,P1
2025-02-19 20:37:15,Received,P4,Hello from P4 at 20:37:15,P1
2025-02-19 20:37:17,Sent,P2,Hello from P1 at 20:37:17,P1
2025-02-19 20:37:17,Sent,P3,Hello from P1 at 20:37:17,P1
2025-02-19 20:37:17,Sent,P4,Hello from P1 at 20:37:17,P1
2025-02-19 20:37:17,Received,P2,Hello from P2 at 20:37:17,P1
2025-02-19 20:37:17,Received,P3,Hello from P3 at 20:37:17,P1
2025-02-19 20:37:17,Received,P4,Hello from P4 at 20:37:17,P1
2025-02-19 20:37:19,Sent,P2,Hello from P1 at 20:37:19,P1
2025-02-19 20:37:19,Sent,P3,Hello from P1 at 20:37:19,P1
2025-02-19 20:37:19,Sent,P4,Hello from P1 at 20:37:19,P1
2025-02-19 20:37:19,Received,P2,Hello from P2 at 20:37:19,P1
2025-02-19 20:37:19,Received,P3,Hello from P3 at 20:37:19,P1
2025-02-19 20:37:19,Received,P4,Hello from P4 at 20:37:19,P1
2025-02-19 20:37:21,Sent,P2,Hello from P1 at 20:37:21,P1
2025-02-19 20:37:21,Sent,P3,Hello from P1 at 20:37:21,P1
2025-02-19 20:37:21,Sent,P4,Hello from P1 at 20:37:21,P1
2025-02-19 20:37:21,Received,P3,Hello from P3 at 20:37:21,P1
2025-02-19 20:37:21,Received,P2,Hello from P2 at 20:37:21,P1
2025-02-19 20:37:21,Received,P4,Hello from P4 at 20:37:21,P1
2025-02-19 20:37:23,Sent,P2,Hello from P1 at 20:37:23,P1
2025-02-19 20:37:23,Sent,P3,Hello from P1 at 20:37:23,P1
2025-02-19 20:37:23,Sent,P4,Hello from P1 at 20:37:23,P1
2025-02-19 20:37:23,Received,P2,Hello from P2 at 20:37:23,P1
2025-02-19 20:37:23,Received,P3,Hello from P3 at 20:37:23,P1
2025-02-19 20:37:23,Received,P4,Hello from P4 at 20:37:23,P1
2025-02-19 20:37:25,Sent,P2,Hello from P1 at 20:37:25,P1
2025-02-19 20:37:25,Sent,P3,Hello from P1 at 20:37:25,P1
