Timestamp,Peer ID,Type,Peer,Message
2025-02-28 12:46:22,P1,Connected,P2,Established connection
2025-02-28 12:46:22,P1,Connected,P3,Established connection
2025-02-28 12:46:22,P1,Connected,P4,Established connection
2025-02-28 12:46:22,P1,Sent,P4,Hello from P1 at 12:46:22
2025-02-28 12:46:22,P1,Sent,P2,Hello from P1 at 12:46:22
2025-02-28 12:46:22,P1,Sent,P3,Hello from P1 at 12:46:22
2025-02-28 12:46:22,P1,Received,P4,Hello from P4 at 12:46:22
2025-02-28 12:46:22,P1,Received,P3,Hello from P3 at 12:46:22
2025-02-28 12:46:22,P1,Received,P2,Hello from P2 at 12:46:22
2025-02-28 12:46:24,P1,Sent,P4,Hello from P1 at 12:46:24
2025-02-28 12:46:24,P1,Sent,P2,Hello from P1 at 12:46:24
2025-02-28 12:46:24,P1,Sent,P3,Hello from P1 at 12:46:24
2025-02-28 12:46:24,P1,Received,P3,Hello from P3 at 12:46:24
2025-02-28 12:46:24,P1,Received,P2,Hello from P2 at 12:46:24
2025-02-28 12:46:24,P1,Received,P4,Hello from P4 at 12:46:24
2025-02-28 12:46:25,P1,Connected,P6,Established connection
2025-02-28 12:46:25,P1,Broadcast,P4,Informing about new peer P6
2025-02-28 12:46:25,P1,Broadcast,P2,Informing about new peer P6
2025-02-28 12:46:25,P1,Broadcast,P3,Informing about new peer P6
2025-02-28 12:46:26,P1,Sent,P4,Hello from P1 at 12:46:26
2025-02-28 12:46:26,P1,Sent,P6,Hello from P1 at 12:46:26
2025-02-28 12:46:26,P1,Sent,P2,Hello from P1 at 12:46:26
2025-02-28 12:46:26,P1,Sent,P3,Hello from P1 at 12:46:26
2025-02-28 12:46:26,P1,Received,P3,Hello from P3 at 12:46:26
2025-02-28 12:46:26,P1,Received,P2,Hello from P2 at 12:46:26
2025-02-28 12:46:26,P1,Received,P4,Hello from P4 at 12:46:26
2025-02-28 12:46:28,P1,Sent,P4,Hello from P1 at 12:46:28
2025-02-28 12:46:28,P1,Sent,P6,Hello from P1 at 12:46:28
2025-02-28 12:46:28,P1,Sent,P2,Hello from P1 at 12:46:28
2025-02-28 12:46:28,P1,Sent,P3,Hello from P1 at 12:46:28
2025-02-28 12:46:28,P1,Received,P3,Hello from P3 at 12:46:28
2025-02-28 12:46:28,P1,Received,P4,Hello from P4 at 12:46:28
2025-02-28 12:46:28,P1,Received,P2,Hello from P2 at 12:46:28
2025-02-28 12:46:29,P1,Received,P6,Hello from P6 at 12:46:29
2025-02-28 12:46:30,P1,Sent,P4,Hello from P1 at 12:46:30
2025-02-28 12:46:30,P1,Sent,P6,Hello from P1 at 12:46:30
2025-02-28 12:46:30,P1,Sent,P2,Hello from P1 at 12:46:30
2025-02-28 12:46:30,P1,Sent,P3,Hello from P1 at 12:46:30
2025-02-28 12:46:30,P1,Received,P4,Hello from P4 at 12:46:30
2025-02-28 12:46:30,P1,Received,P3,Hello from P3 at 12:46:30
2025-02-28 12:46:30,P1,Received,P2,Hello from P2 at 12:46:30
2025-02-28 12:46:31,P1,Received,P6,Hello from P6 at 12:46:31
2025-02-28 12:46:32,P1,Sent,P4,Hello from P1 at 12:46:32
2025-02-28 12:46:32,P1,Sent,P6,Hello from P1 at 12:46:32
2025-02-28 12:46:32,P1,Sent,P2,Hello from P1 at 12:46:32
2025-02-28 12:46:32,P1,Sent,P3,Hello from P1 at 12:46:32
2025-02-28 12:46:32,P1,Received,P2,Hello from P2 at 12:46:32
2025-02-28 12:46:32,P1,Received,P4,Hello from P4 at 12:46:32
2025-02-28 12:46:32,P1,Received,P3,Hello from P3 at 12:46:32
2025-02-28 12:46:33,P1,Received,P6,Hello from P6 at 12:46:33
2025-02-28 12:46:34,P1,Connected,P5,Established connection
2025-02-28 12:46:34,P1,Broadcast,P4,Informing about new peer P5
2025-02-28 12:46:34,P1,Broadcast,P2,Informing about new peer P5
2025-02-28 12:46:34,P1,Broadcast,P3,Informing about new peer P5
2025-02-28 12:46:34,P1,Broadcast,P6,Informing about new peer P5
2025-02-28 12:46:34,P1,Peer List Sent,P5,Shared full peer list
2025-02-28 12:46:34,P1,Received,P5,Hello from P5 at 12:46:34
2025-02-28 12:46:34,P1,Sent,P5,Hello from P1 at 12:46:34
2025-02-28 12:46:34,P1,Sent,P4,Hello from P1 at 12:46:34
2025-02-28 12:46:34,P1,Sent,P2,Hello from P1 at 12:46:34
2025-02-28 12:46:34,P1,Sent,P3,Hello from P1 at 12:46:34
2025-02-28 12:46:34,P1,Sent,P6,Hello from P1 at 12:46:34
2025-02-28 12:46:34,P1,Received,P4,Hello from P4 at 12:46:34
2025-02-28 12:46:34,P1,Received,P2,Hello from P2 at 12:46:34
2025-02-28 12:46:34,P1,Received,P3,Hello from P3 at 12:46:34
2025-02-28 12:46:36,P1,Received,P5,Hello from P5 at 12:46:36
2025-02-28 12:46:36,P1,Sent,P5,Hello from P1 at 12:46:36
2025-02-28 12:46:36,P1,Sent,P4,Hello from P1 at 12:46:36
2025-02-28 12:46:36,P1,Sent,P2,Hello from P1 at 12:46:36
2025-02-28 12:46:36,P1,Sent,P3,Hello from P1 at 12:46:36
2025-02-28 12:46:36,P1,Sent,P6,Hello from P1 at 12:46:36
2025-02-28 12:46:36,P1,Received,P4,Hello from P4 at 12:46:36
